case_id,environment,tier,level,level_name,behavior,pair_id,needs_ambient_context,adversarial_type,experiment,profile,tool_size,gold_position,model,contract,tool_selection_exact,full_call_exact,sequence_success,arg_exact_match,arg_precision,arg_recall,arg_f1,e2e_success,expected_action,took_action,decision_correct,false_action,missed_action,destructive_action,abstained,asked_clarification,gold_tool_offered,n_expected_calls,n_actual_calls,n_tools_offered,confidence,latency_ms,peak_ram_mb,error,failure_types
smart_home.D2.06,smart_home,1,2,distraction,no_call,,False,unsupported,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,True,False,True,False,True,False,False,False,False,True,0,4,10,1.0,893.0753999993613,128.3,,unsupported_but_called|extra_tool
smart_home.D2.06,smart_home,1,2,distraction,no_call,,False,unsupported,profile,baseline,10,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,True,False,True,False,True,False,False,False,False,True,0,4,10,1.0,893.0753999993613,128.3,,unsupported_but_called|extra_tool
smart_home.D3.02,smart_home,1,3,context,tool_call,,True,,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,False,True,False,False,False,True,False,True,False,True,1,0,10,1.0,221.36070000033214,128.3,,missing_tool
smart_home.D3.02,smart_home,1,3,context,tool_call,,True,,profile,baseline,10,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,False,True,False,False,False,True,False,True,False,True,1,0,10,1.0,221.36070000033214,128.3,,missing_tool
smart_home.D3.04,smart_home,1,3,context,tool_call,,True,,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.5,0.5,0.5,False,True,True,True,False,False,False,False,False,True,1,4,10,1.0,911.1862999998266,128.3,,extra_tool|wrong_argument|failed_context
smart_home.D3.04,smart_home,1,3,context,tool_call,,True,,profile,baseline,10,natural,needle3,production@0.4,False,False,False,False,0.5,0.5,0.5,False,True,True,True,False,False,False,False,False,True,1,4,10,1.0,911.1862999998266,128.3,,extra_tool|wrong_argument|failed_context
smart_home.D3.05,smart_home,1,3,context,tool_call,,True,,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,False,True,False,False,False,True,False,True,False,True,1,0,10,0.9877,195.99509999989095,129.1,,missing_tool
smart_home.D3.05,smart_home,1,3,context,tool_call,,True,,profile,baseline,10,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,False,True,False,False,False,True,False,True,False,True,1,0,10,0.9877,195.99509999989095,129.1,,missing_tool
smart_home.D4.02,smart_home,1,4,parallel,multiple_tool_calls,,False,,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.0,0.0,0.0,False,True,True,True,False,False,False,False,False,True,2,5,10,0.9723,1012.3622000000978,129.2,,missing_tool|wrong_tool|wrong_argument
smart_home.D4.02,smart_home,1,4,parallel,multiple_tool_calls,,False,,profile,baseline,10,natural,needle3,production@0.4,False,False,False,False,0.0,0.0,0.0,False,True,True,True,False,False,False,False,False,True,2,5,10,0.9723,1012.3622000000978,129.2,,missing_tool|wrong_tool|wrong_argument
smart_home.D4.04,smart_home,1,4,parallel,multiple_tool_calls,,False,,profile,baseline,10,natural,needle3,raw,False,False,False,False,0.3333333333333333,0.5,0.4,False,True,True,True,False,False,False,False,False,True,2,5,10,1.0,950.7614000012836,129.2,,extra_tool|wrong_argument
