profile,contract,full_call_exact,tool_selection_exact,e2e_success,arg_f1,decision_correct,false_action,missed_action,destructive_action,gold_tool_offered,latency_p50,latency_p95
baseline,production@0.4,0.32727272727272727,0.38181818181818183,0.5545454545454546,0.4476911976911977,0.7909090909090909,0.09090909090909091,0.11818181818181818,0.045454545454545456,1.0,598.5412499999256,1276.321879999432
baseline,raw,0.36363636363636365,0.42727272727272725,0.5818181818181818,0.49102453102453103,0.8181818181818182,0.1,0.08181818181818182,0.05454545454545454,1.0,598.5412499999256,1276.321879999432
