profile,contract,environment,full_call_exact,tool_selection_exact,e2e_success,arg_f1,decision_correct,false_action,missed_action,destructive_action,gold_tool_offered
baseline,production@0.4,business_ops,0.3611111111111111,0.4166666666666667,0.6944444444444444,0.4601851851851852,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.05555555555555555,1.0
baseline,production@0.4,smart_home,0.2631578947368421,0.2894736842105263,0.34210526315789475,0.3912280701754386,0.6842105263157895,0.13157894736842105,0.18421052631578946,0.0,1.0
baseline,production@0.4,workspace,0.3611111111111111,0.4444444444444444,0.6388888888888888,0.4947971781305115,0.8055555555555556,0.08333333333333333,0.1111111111111111,0.08333333333333333,1.0
baseline,raw,business_ops,0.3611111111111111,0.4166666666666667,0.6666666666666666,0.4583333333333333,0.8611111111111112,0.08333333333333333,0.05555555555555555,0.08333333333333333,1.0
baseline,raw,smart_home,0.2894736842105263,0.2894736842105263,0.3684210526315789,0.4131578947368421,0.7105263157894737,0.13157894736842105,0.15789473684210525,0.0,1.0
baseline,raw,workspace,0.4444444444444444,0.5833333333333334,0.7222222222222222,0.6059082892416225,0.8888888888888888,0.08333333333333333,0.027777777777777776,0.08333333333333333,1.0
