contract,tool_size,gold_position,full_call_exact,gold_tool_offered,e2e_success,latency_ms
production@0.4,10,first,0.4861111111111111,1.0,0.75,836.0021500000256
production@0.4,10,last,0.4583333333333333,1.0,0.7638888888888888,791.0789680556213
production@0.4,10,middle,0.4583333333333333,1.0,0.7222222222222222,831.7794333333571
production@0.4,12,first,0.3888888888888889,1.0,0.7777777777777778,545.4216666668495
production@0.4,12,last,0.5,1.0,0.8333333333333334,1063.380177777617
production@0.4,12,middle,0.4444444444444444,1.0,0.8333333333333334,559.0794166665141
production@0.4,20,first,0.4166666666666667,1.0,0.7916666666666666,612.7246097222244
production@0.4,20,last,0.4861111111111111,1.0,0.8055555555555556,724.2325791666088
production@0.4,20,middle,0.4444444444444444,1.0,0.7777777777777778,588.7400597223278
production@0.4,50,first,0.4444444444444444,1.0,0.7592592592592593,713.280257407388
production@0.4,50,last,0.4074074074074074,1.0,0.7407407407407407,756.0427925927966
production@0.4,50,middle,0.42592592592592593,1.0,0.7407407407407407,752.0919092590635
production@0.4,100,first,0.2777777777777778,1.0,0.6481481481481481,911.3249796294743
production@0.4,100,last,0.4444444444444444,1.0,0.7777777777777778,868.9859870369723
production@0.4,100,middle,0.3333333333333333,1.0,0.6851851851851852,877.5178055556926
raw,10,first,0.5416666666666666,1.0,0.7916666666666666,836.0021500000256
raw,10,last,0.5277777777777778,1.0,0.8055555555555556,791.0789680556213
raw,10,middle,0.5138888888888888,1.0,0.7638888888888888,831.7794333333571
raw,12,first,0.4444444444444444,1.0,0.8333333333333334,545.4216666668495
raw,12,last,0.5555555555555556,1.0,0.8888888888888888,1063.380177777617
raw,12,middle,0.5,1.0,0.8888888888888888,559.0794166665141
raw,20,first,0.4444444444444444,1.0,0.7916666666666666,612.7246097222244
raw,20,last,0.5138888888888888,1.0,0.8055555555555556,724.2325791666088
raw,20,middle,0.4722222222222222,1.0,0.7777777777777778,588.7400597223278
raw,50,first,0.48148148148148145,1.0,0.7777777777777778,713.280257407388
raw,50,last,0.4444444444444444,1.0,0.7592592592592593,756.0427925927966
raw,50,middle,0.46296296296296297,1.0,0.7407407407407407,752.0919092590635
raw,100,first,0.2962962962962963,1.0,0.6666666666666666,911.3249796294743
raw,100,last,0.48148148148148145,1.0,0.7962962962962963,868.9859870369723
raw,100,middle,0.37037037037037035,1.0,0.7037037037037037,877.5178055556926
